"class","term","week","subject","topic","agegroup","context","generated"
"Jss 1","Calvary Term","10","Business Studies","Forms of Business Organization","10-11","Understanding different types of business ownership: sole proprietorship (one owner), partnership (2-20 owners), limited liability companies (shareholders), and cooperative societies (members working together), with advantages and disadvantages of each","false"
"Jss 1","Summer Term","1","Business Studies","Consumer, Market and Society","10-11","Defining consumer as anyone who buys and uses goods/services, market as where buyers and sellers meet, society as group of people living together, understanding the need for consumer education to make informed buying decisions","false"
"Jss 1","Summer Term","2","Business Studies","Importance and Consequences of Consumer Education","10-11","Learning the importance of educating consumers about their rights, product quality, fair prices, and safe consumption, understanding negative consequences of lack of consumer education including exploitation, fraud, and harmful purchases","false"
"Jss 1","Summer Term","3","Business Studies","Need for Monitoring and Control of Chemicals","10-11","Understanding the difference between chemicals suitable for use (safe, approved) and not suitable (dangerous, expired), learning why monitoring food, drugs, and chemicals is necessary to protect public health and safety","false"
"Jss 1","Summer Term","4","Business Studies","Introduction to Book-keeping","10-11","Understanding book-keeping as systematic recording of business financial transactions, learning its importance (tracking income/expenses, making decisions, preventing fraud), qualities of book-keepers (accuracy, honesty, neatness), and common practices","false"
"Jss 1","Summer Term","5","Business Studies","Source Documents in Book-keeping","10-11","Learning about source documents as original records of transactions including invoices (sales and purchase), receipts, cash register tapes, credit notes, debit notes, and cheques, understanding their uses and how to complete them","false"
"Jss 1","Summer Term","6","Business Studies","Journals - Books of Original Entry","10-11","Understanding journals as books where transactions are first recorded from source documents, learning the correct form/format of a journal, different types of journals (sales, purchases, cash, general), and how to make journal entries","false"
"Jss 1","Summer Term","7","Business Studies","Double Entry Book-keeping System","10-11","Learning the double entry principle where every transaction has two effects (debit and credit), understanding that for every debit entry there must be a corresponding credit entry, identifying which accounts to debit and credit","false"
"Jss 1","Summer Term","8","Business Studies","Ledgers and Classification of Accounts","10-11","Understanding ledgers as books containing individual accounts, learning to post from journals to ledgers, and classifying accounts into real (assets), nominal (expenses/income), personal (people/businesses), and impersonal accounts","false"
"Jss 1","Summer Term","9","Business Studies","Introduction to Keyboarding","10-11","Understanding keyboarding as the skill of using a keyboard (typewriter or computer) to input text, learning its importance for personal and business use, and practicing correct sitting posture for keyboarding (straight back, feet flat, arms relaxed)","false"
"Jss 1","Summer Term","10","Business Studies","Parts of Computer Keyboard and Basic Care","10-11","Identifying parts of a computer keyboard (alphanumeric keys, function keys, navigation keys, numeric keypad), learning similarities between typewriter and computer keyboard, and understanding how to care for computers using dust covers, cleaning, and proper handling","false"
"Jss 1","Noel Term","1","Christian Religious Studies","The Creation Story: Days 1-3","10-11","Biblical account of creation from Genesis 1; understanding how God created light, sky, land, seas, and vegetation in first three days","false"
"Jss 1","Noel Term","2","Christian Religious Studies","The Creation Story: Days 4-6","10-11","Continuation of creation narrative; God creating sun, moon, stars, sea creatures, birds, land animals, and human beings","false"
"Jss 1","Noel Term","3","Christian Religious Studies","Purpose of Human Creation","10-11","Understanding why God made human beings: to know Him, worship Him, and serve Him; humans as crown of God's creation","false"
"Jss 1","Noel Term","4","Christian Religious Studies","Creation of Adam and Eve","10-11","Special account of how God formed Adam from dust and created Eve from Adam's rib (Genesis 2:7-25)","false"
"Jss 1","Noel Term","5","Christian Religious Studies","Marriage: Meaning and Purpose","10-11","Understanding marriage as God's institution from Genesis 2:22-25; functions include companionship, procreation, responsibility","false"
"Jss 1","Noel Term","6","Christian Religious Studies","Types and Importance of Marriage","10-11","Learning different types of marriage; importance of marriage in preventing STDs, HIV/AIDS through faithfulness","false"
"Jss 1","Noel Term","7","Christian Religious Studies","The First Human Disobedience","10-11","Biblical account of Adam and Eve's sin in the Garden of Eden; the serpent's temptation and eating forbidden fruit (Genesis 3:1-19)","false"
"Jss 1","Noel Term","8","Christian Religious Studies","Consequences of Adam and Eve's Disobedience","10-11","Understanding punishments: pain in childbirth, hard labor for food, death, broken relationship with God (Genesis 3:14-19)","false"
"Jss 1","Noel Term","9","Christian Religious Studies","Our Own Acts of Disobedience","10-11","Recognizing disobedience as sin; identifying personal acts of disobedience against parents, teachers, and God","false"
"Jss 1","Noel Term","10","Christian Religious Studies","Disobedience Against National Laws","10-11","Understanding consequences of breaking national laws; importance of obeying traffic rules, respecting public property, reciting national pledge","false"
"Jss 1","Calvary Term","1","Christian Religious Studies","Call to Repentance: King David","10-11","Learning how King David repented after Nathan confronted him about Uriah's death; Psalm 51 as prayer of repentance (2 Samuel 12:7-13)","false"
"Jss 1","Calvary Term","2","Christian Religious Studies","Call to Repentance: Zaccheus","10-11","Story of Zaccheus the tax collector who climbed sycamore tree, met Jesus, repented and restored stolen money (Luke 19:1-9)","false"
"Jss 1","Calvary Term","3","Christian Religious Studies","The Ninevites' Repentance","10-11","Understanding how people of Nineveh repented when Jonah preached; God's mercy in sparing the city (Jonah 3:1-10)","false"
"Jss 1","Calvary Term","4","Christian Religious Studies","John the Baptist's Call to Repentance","10-11","Learning about John the Baptist preaching repentance; demands for genuine repentance and changed behavior (Luke 3:1-14)","false"
"Jss 1","Calvary Term","5","Christian Religious Studies","Consequences of Lack of Repentance","10-11","Understanding punishment that came upon Eli's family for refusing to repent of their sins (1 Samuel 3:18; 4:10-21)","false"
"Jss 1","Calvary Term","6","Christian Religious Studies","Abraham's Call and Obedience","10-11","Narrating how God called Abraham to leave his country; Abraham's obedient response to God's call (Genesis 12:1-9)","false"
"Jss 1","Calvary Term","7","Christian Religious Studies","Blessings from Abraham's Obedience","10-11","Understanding blessings Abraham received for obeying God: numerous descendants, land, becoming father of nations; birth of Isaac (Genesis 21:1-8)","false"
"Jss 1","Calvary Term","8","Christian Religious Studies","Abraham's Sacrifice of Isaac","10-11","Dramatizing how Abraham demonstrated ultimate obedience by being willing to sacrifice Isaac; God providing a ram (Genesis 22:1-18)","false"
"Jss 1","Calvary Term","9","Christian Religious Studies","Joseph Sold into Egypt","10-11","Learning about Joseph's brothers selling him into slavery; God's plan working through difficult circumstances (Genesis 37:12-36)","false"
"Jss 1","Calvary Term","10","Christian Religious Studies","Joseph's Service in Egypt","10-11","Understanding how Joseph served faithfully in prison and Pharaoh's house; rising to become governor controlling grain stores (Genesis 41:37-57)","false"
"Jss 1","Summer Term","1","Christian Religious Studies","Ruth's Faithful Service","10-11","Story of Ruth's loyalty and service to her mother-in-law Naomi; choosing to follow Naomi's God (Ruth 1:7-18)","false"
"Jss 1","Summer Term","2","Christian Religious Studies","Lessons from Service of Joseph and Ruth","10-11","Identifying blessings from faithful service; understanding problems and rewards of serving God and others (1 Peter 2:18-25)","false"
"Jss 1","Summer Term","3","Christian Religious Studies","Types of Family","10-11","Understanding nuclear family (parents and children) and extended family (including grandparents, uncles, aunts, cousins)","false"
"Jss 1","Summer Term","4","Christian Religious Studies","Family Members and Their Roles","10-11","Identifying family members; understanding different roles in the family from Ephesians 6:1-9, Colossians 3:18-21","false"
"Jss 1","Summer Term","5","Christian Religious Studies","Drawing Family Tree","10-11","Learning to draw family tree showing relationships; recognizing importance of maintaining good family name and reputation","false"
"Jss 1","Summer Term","6","Christian Religious Studies","Relationship in School","10-11","Identifying school family: principals, teachers, prefects, friends; writing names of teachers and their subject areas","false"
"Jss 1","Summer Term","7","Christian Religious Studies","Choosing Good Friends","10-11","Learning factors for choosing friends: common interests, age; studying friendship of David and Jonathan (1 Samuel 18:1-5)","false"
"Jss 1","Summer Term","8","Christian Religious Studies","Dangers of Bad Friendship","10-11","Understanding evils of bad friendship: cultism, stealing, drug addiction, prostitution, laziness, truancy (Proverbs 1:10, 2 Thessalonians 3:6-13)","false"
"Jss 1","Summer Term","9","Christian Religious Studies","Relationship in the Community","10-11","Identifying community leaders; ways of sustaining relationships: respecting elders, obeying laws, caring for the needy (Matthew 25:31-46)","false"
"Jss 1","Summer Term","10","Christian Religious Studies","Relationship in the Church","10-11","Learning how to love Christian brothers and sisters; maintaining church relationships through love and respect (Romans 12:9-21, 1 Peter 3:8-13)","false"
"Jss 1","Noel Term","1","Computer Studies","Early Counting Devices","10-11","Introduction to primitive counting methods used before modern computers including using fingers, toes, stones, sticks, pebbles, and cowries to count and represent numbers, understanding the limitations of these methods for large numbers","false"
"Jss 1","Noel Term","2","Computer Studies","Mechanical Counting and Calculating Devices","10-11","Learning about early mechanical tools for counting and calculation including the abacus (ancient calculating tool with beads on rods), slide rule (mechanical calculator), and four-figure tables used for mathematical computations","false"
"Jss 1","Noel Term","4","Computer Studies","Electronic Counting Devices and Modern Computers","10-11","Learning about Herman Hollerith's punch cards, John Von Neumann's stored-program concept, and the evolution to modern computers, understanding the contributions of inventors like Philip Emeagwali to computing development","false"
"Jss 1","Noel Term","6","Computer Studies","Generations of Computers - Third and Fourth","10-11","Learning about the third generation (1960s-1970s) using integrated circuits (ICs) which were smaller and more efficient, and fourth generation (1970s-present) using microprocessors, leading to personal computers","false"
"Jss 1","Noel Term","7","Computer Studies","Fifth Generation Computers and Beyond","10-11","Understanding current and future computers based on artificial intelligence (AI), parallel processing, and advanced technologies, learning how modern computers are becoming more intelligent and powerful","false"
"Jss 1","Calvary Term","1","Computer Studies","Computer Room Management - Environment","10-11","Learning proper computer room/laboratory management including maintaining dust-free environment (using covers, regular cleaning), appropriate ventilation (for cooling equipment), and proper lighting systems to protect equipment and ensure comfort","false"
"Jss 1","Calvary Term","6","Computer Studies","Applications of IT - Timing and Control","10-11","Understanding IT applications in timing and control systems including digital clocks, traffic lights, automated systems in homes and industries, security systems, and how computers help control various processes accurately","false"
"Jss 1","Noel Term","1","English Language","Reading for Maximum Retention and Recall","10-11","Learning intensive reading strategies using the SQ3R method (Survey, Question, Read, Recite, Review) to preview passages, read carefully, recall salient points, and review for maximum understanding and retention of information on topics like diet, nutrition, and water safety","false"
"Jss 1","Noel Term","2","English Language","Reading for Main and Supporting Ideas","10-11","Learning to identify the main idea (most important point) and supporting ideas (details that explain or prove the main idea) in passages, understanding how supporting ideas develop and strengthen the main point in paragraphs","false"
"Jss 1","Noel Term","3","English Language","Reading to Answer Specific Questions","10-11","Developing comprehension skills by learning to answer different levels of questions: knowledge level (who, what, where, when), translation level (explain, describe), interpretation level (why, how), and projection level (predict, conclude, give opinion)","false"
"Jss 1","Noel Term","4","English Language","Reading to Understand Author's Mood","10-11","Learning to identify the author's mood or attitude (anger, happiness, doubt, disappointment, suspicion, excitement) through careful reading of words and expressions, detecting hidden meanings, and understanding the author's presentation style (objective, biased, verbose, terse)","false"
"Jss 1","Noel Term","5","English Language","Reading to Interpret Diagrams, Maps and Sketches","10-11","Developing skills to read and accurately interpret visual information like diagrams, maps, and sketches that accompany written text, understanding how spatial descriptions complement written material and making connections between text and visuals","false"
"Jss 1","Noel Term","6","English Language","Reading to Follow Directions","10-11","Learning to follow written instructions and directions by identifying key directional words (left, right, east, west, northwards, southwards, upwards, towards), reading maps, and following step-by-step instructions accurately","false"
"Jss 1","Noel Term","7","English Language","Writing to Highlight Main and Supporting Ideas","10-11","Learning to organize writing by identifying and jotting down main and supporting ideas from topics, arranging ideas in logical sequence (beginning, middle, end), and writing appropriate introductions and conclusions for essays and passages","false"
"Jss 1","Noel Term","8","English Language","Composition Writing - Narrative and Descriptive","10-11","Understanding narrative writing (telling a story with characters, plot, setting) and descriptive writing (using sensory details to describe people, places, things), learning to write compositions with clear structure including introduction, body, and conclusion","false"
"Jss 1","Noel Term","9","English Language","Letter Writing - Formal and Informal Letters","10-11","Learning the difference between formal letters (two addresses, formal salutation, specific format for official purposes) and informal letters (one address, casual tone for friends and family), understanding appropriate formats and when to use each type","false"
"Jss 1","Noel Term","10","English Language","Speeches - Production of Vowel and Consonant Sounds","10-11","Learning to listen to and produce clear vowel sounds (a, e, i, o, u) and consonant sounds (t, g, k, l, p, s, etc.) correctly in words, sentences, and passages on topics like family, school, health, and safety","false"
"Jss 1","Calvary Term","1","English Language","Long and Short Vowel Sounds","10-11","Distinguishing between and correctly pronouncing long vowels (as in sleep, port, leave) and short vowels (as in slip, pot, live), practicing minimal pairs to hear and produce the differences in context","false"
"Jss 1","Calvary Term","2","English Language","Consonant Sounds in Context","10-11","Learning to identify and correctly produce consonant sounds in words and sentences, practicing pronunciation of sounds like /b/ vs /p/ (back/pack), /g/ vs /t/ (goat/toad), /r/ vs /l/ (road/load), /th/ vs /d/ (then/den)","false"
"Jss 1","Calvary Term","3","English Language","Consonant Clusters and Diphthongs","10-11","Learning to pronounce consonant clusters (two or more consonants together like in desks, plants, school, string, splash) and diphthongs (two vowel sounds in one syllable like /ei/ in gate, /ou/ in go, /oi/ in oil)","false"
"Jss 1","Calvary Term","4","English Language","Word Boundaries, Compound Words and Phrases","10-11","Understanding linking sounds at word boundaries (matter of, go away), recognizing compound words (blackboard, ice-cream, swimming pool), and learning common phrases (a company of friends, a basket of fruits, a team of players)","false"
"Jss 1","Calvary Term","5","English Language","Questions and Question Tags","10-11","Learning to form and respond to question tags correctly (Teachers are punctual, aren't they? Yes, they are), understanding how question tags seek agreement or confirmation, and using appropriate intonation patterns","false"
"Jss 1","Calvary Term","6","English Language","Listening Comprehension - Main Ideas","10-11","Developing listening skills to identify main ideas from speeches, stories, and passages on topics like family, school, health, safety, and social issues, learning to extract key information from what is heard","false"
"Jss 1","Calvary Term","7","English Language","Parts of Speech - Nouns, Verbs, Adjectives","10-11","Understanding nouns (naming words for people, places, things), verbs (action or state words), and adjectives (describing words), learning to identify their features and functions in sentences, and making correct sentences using them","false"
"Jss 1","Calvary Term","8","English Language","Parts of Speech - Adverbs, Conjunctions, Prepositions","10-11","Learning about adverbs (words that modify verbs, adjectives, or other adverbs), conjunctions (joining words like and, but, because), and prepositions (words showing relationships like in, on, at, under), and their functions in sentences","false"
"Jss 1","Calvary Term","9","English Language","Adverbials and Tenses","10-11","Understanding adverbials (words or phrases that tell when, where, how, or why something happens) and tenses (present tense for current actions, past tense for completed actions, future tense for actions yet to happen)","false"
"Jss 1","Calvary Term","10","English Language","Active and Passive Verbs","10-11","Learning the difference between active voice (subject performs the action: The boy kicked the ball) and passive voice (subject receives the action: The ball was kicked by the boy), and how to change sentences from active to passive","false"
"Jss 1","Summer Term","1","English Language","Introduction to Literature","10-11","Understanding literature as creative writing including stories, poems, and plays that reflect culture and values, learning about two major categories: oral literature (folktales, songs, proverbs told by word of mouth) and written literature (books, novels, poems)","false"
"Jss 1","Summer Term","2","English Language","Folktales - Features and Themes","10-11","Learning about African and non-African folktales with features like didactic lessons (teaching morals), entertainment, magical elements, and animal characters, identifying themes, retelling folktales, and understanding their cultural significance","false"
"Jss 1","Summer Term","3","English Language","Myths and Legends","10-11","Understanding myths (traditional stories explaining natural phenomena or beliefs, often involving gods and supernatural beings) and legends (stories about historical or semi-historical people and events), identifying their features like magic, supernatural elements, and superstition","false"
"Jss 1","Summer Term","4","English Language","Prose - Types and Features","10-11","Learning about prose as written or spoken language in ordinary form (not poetry), understanding narrative prose (telling a story) and descriptive prose (describing something), and identifying features like plot, characterization, setting, theme, and style","false"
"Jss 1","Summer Term","5","English Language","Poetry - Types and Features","10-11","Understanding different types of poetry (epic, lyric, dramatic), learning about poetic language (concise, unique, elevated), recognizing rhythm and rhyme, explaining meanings of simple poems, and writing simple poems","false"
"Jss 1","Summer Term","6","English Language","Drama - Types and Features","10-11","Learning about drama as stories performed on stage, understanding types (comedy - funny plays, tragedy - serious/sad plays), and identifying features like theme, stage, costumes, director, audience, and performance","false"
"Jss 1","Summer Term","7","English Language","Figures of Speech - Similes and Metaphors","10-11","Understanding similes as comparisons using 'like' or 'as' (She is as red as a rose) and metaphors as direct comparisons without 'like' or 'as' (She is a red rose), learning to identify and create both in sentences and literature","false"
"Jss 1","Summer Term","8","English Language","Vocabulary Development Through Context","10-11","Building vocabulary by learning to use context clues (surrounding words and sentences) to figure out meanings of unfamiliar words, understanding synonyms (words with similar meanings) and antonyms (words with opposite meanings)","false"
"Jss 1","Summer Term","9","English Language","Sentence Construction and Structure","10-11","Learning to construct complete sentences with subject (who or what the sentence is about) and predicate (what the subject does or is), understanding basic sentence patterns, and using correct punctuation (capital letters, periods, question marks)","false"
"Jss 1","Summer Term","10","English Language","Summary Writing Skills","10-11","Learning to write summaries by identifying main points in passages, removing unnecessary details, using own words to condense information, and writing brief coherent summaries that capture the essential meaning of longer texts","false"
"Jss 1","Noel Term","1","General Mathematics","Whole Numbers: Millions and Billions","10-11","Learning to count, write, and read large numbers from 99,990 to 1,000,000 and up to 100,000,000; understanding place values","false"
"Jss 1","Noel Term","2","General Mathematics","Whole Numbers: Trillions","10-11","Counting, writing, and reading numbers in trillions; applying large numbers to real-life situations like population, money","false"
"Jss 1","Noel Term","3","General Mathematics","Least Common Multiple (LCM)","10-11","Finding common multiples of whole numbers; calculating LCM using factor method, multiple method, and index method","false"
"Jss 1","Noel Term","4","General Mathematics","Highest Common Factor (HCF)","10-11","Identifying common factors of whole numbers; finding HCF using common factor and prime factor methods","false"
"Jss 1","Noel Term","5","General Mathematics","Difference Between LCM and HCF","10-11","Understanding distinction between LCM and HCF; expressing numbers as products of prime factors; solving related problems","false"
"Jss 1","Noel Term","6","General Mathematics","Counting in Base 2 (Binary System)","10-11","Learning to count in groups of twos using bundles; understanding binary number system basics","false"
"Jss 1","Noel Term","7","General Mathematics","Converting Base 10 to Binary Numbers","10-11","Converting numbers 1-10 from base 10 to base 2 using bundles method; understanding place value in binary system","false"
"Jss 1","Noel Term","8","General Mathematics","Equivalent Fractions","10-11","Identifying equivalent fractions like 1/2 = 2/4 = 4/8; using formula to find equivalent fractions; applying in sharing","false"
"Jss 1","Noel Term","9","General Mathematics","Ordering Fractions and Conversion","10-11","Arranging fractions in ascending or descending order; converting fractions to decimals and vice versa","false"
"Jss 1","Noel Term","10","General Mathematics","Converting Fractions and Percentages","10-11","Converting fractions to percentages and percentages to fractions; understanding percentage as part of hundred","false"
"Jss 1","Calvary Term","1","General Mathematics","Addition and Subtraction of Whole Numbers","10-11","Adding and subtracting numbers up to 4 digits; stating place values of results; solving word problems","false"
"Jss 1","Calvary Term","2","General Mathematics","Directed Numbers Using Number Line","10-11","Understanding positive and negative integers; using number line for addition and subtraction; real-life applications (temperature, banking)","false"
"Jss 1","Calvary Term","3","General Mathematics","Addition and Subtraction of Fractions","10-11","Adding and subtracting fractions with same and different denominators; handling mixed numbers; solving word problems","false"
"Jss 1","Calvary Term","4","General Mathematics","Multiplication and Division of Fractions","10-11","Multiplying and dividing fractions using diagrams and calculation; working with mixed numbers; solving word problems","false"
"Jss 1","Calvary Term","5","General Mathematics","Estimation of Dimensions and Distances","10-11","Estimating lengths, widths, distances within school environment; developing sense of measurement without exact tools","false"
"Jss 1","Calvary Term","6","General Mathematics","Estimation of Capacity and Mass","10-11","Estimating capacity of containers (milk tins, bottles); estimating mass of objects; applying estimation to daily life","false"
"Jss 1","Calvary Term","7","General Mathematics","Approximation in Basic Operations","10-11","Approximating answers to addition, subtraction, multiplication, division; understanding when approximation is useful","false"
"Jss 1","Calvary Term","8","General Mathematics","Rounding Off Numbers","10-11","Rounding numbers to nearest 10, 100, and 1000; applying approximation and rounding in everyday activities","false"
"Jss 1","Calvary Term","9","General Mathematics","Binary Operations: Addition and Subtraction","10-11","Adding two or three 3-digit binary numbers; subtracting two 3-digit binary numbers in base 2 system","false"
"Jss 1","Calvary Term","10","General Mathematics","Binary Operations: Multiplication","10-11","Multiplying two 2-digit binary numbers; understanding binary multiplication rules and procedures","false"
"Jss 1","Summer Term","1","General Mathematics","Open Sentences and Use of Symbols","10-11","Solving open sentences with boxes representing unknowns; understanding relationship between addition/subtraction and multiplication/division","false"
"Jss 1","Summer Term","2","General Mathematics","Using Letters to Represent Symbols","10-11","Replacing boxes with letters in open sentences; solving problems with two arithmetic operations; translating word problems","false"
"Jss 1","Summer Term","3","General Mathematics","Algebraic Expressions: Like and Unlike Terms","10-11","Identifying like and unlike terms in algebraic expressions; understanding coefficients of positive and negative terms","false"
"Jss 1","Summer Term","4","General Mathematics","Simplification of Algebraic Expressions","10-11","Collecting like terms; performing basic arithmetic operations on algebraic expressions; simplifying with brackets","false"
"Jss 1","Summer Term","5","General Mathematics","Simple Equations","10-11","Translating word sentences into mathematical equations; solving simple equations like 5k + 7 = 22; cross-checking answers","false"
"Jss 1","Summer Term","6","General Mathematics","Plane Shapes: Perimeter","10-11","Identifying properties of square, rectangle, triangle, parallelogram, trapezium, circle; finding perimeter using practical methods and formulas","false"
"Jss 1","Summer Term","7","General Mathematics","Plane Shapes: Area","10-11","Finding area of regular shapes (squares, rectangles, parallelograms) using graph paper and formulas; real-life applications","false"
"Jss 1","Summer Term","8","General Mathematics","Three Dimensional Figures: Properties","10-11","Identifying properties of cubes, cuboids, pyramids, cones, cylinders, spheres; counting faces, edges, vertices","false"
"Jss 1","Summer Term","9","General Mathematics","Volume of Cubes and Cuboids","10-11","Deriving formulas for volume of cubes and cuboids; calculating volume using length × width × height","false"
"Jss 1","Summer Term","10","General Mathematics","Construction and Angles","10-11","Constructing parallel and perpendicular lines, bisecting line segments; constructing 60° and 90° angles; measuring angles with protractor","false"
"Jss 1","Noel Term","1","Home Economics","Puberty: Meaning and Signs","10-11","Understanding what puberty is; learning physical and emotional changes that occur during puberty in boys and girls","false"
"Jss 1","Noel Term","2","Home Economics","Adolescence: Meaning and Characteristics","10-11","Understanding adolescence as the teenage years; learning about the transition from childhood to adulthood (ages 10-19)","false"
"Jss 1","Noel Term","3","Home Economics","Needs and Challenges of Adolescents","10-11","Learning about adolescent needs: proper nutrition, hygiene, emotional support; understanding challenges faced during teenage years","false"
"Jss 1","Noel Term","4","Home Economics","Hygiene Guides for Adolescents","10-11","Learning personal hygiene practices for adolescents: bathing regularly, using deodorants, managing menstruation, maintaining cleanliness","false"
"Jss 1","Noel Term","5","Home Economics","Sexually Transmitted Infections (STIs)","10-11","Understanding what STIs are; learning causes, signs, symptoms, and prevention methods for sexually transmitted infections","false"
"Jss 1","Noel Term","6","Home Economics","HIV/AIDS: Meaning, Causes and Prevention","10-11","Learning about HIV/AIDS: what it is, how it spreads, prevention methods, and importance of awareness","false"
"Jss 1","Noel Term","7","Home Economics","Fundamental Human Rights","10-11","Understanding basic human rights: right to life, freedom of expression, right to education, right to dignity","false"
"Jss 1","Noel Term","8","Home Economics","Rights of the Child","10-11","Learning specific rights children have: right to protection, care, education, play, name, nationality, and freedom from abuse","false"
"Jss 1","Noel Term","9","Home Economics","Family Needs: Meaning and Types","10-11","Understanding what family needs are; learning basic needs: food, clothing, shelter, healthcare, education","false"
"Jss 1","Noel Term","10","Home Economics","Difference Between Needs and Wants","10-11","Learning to distinguish between essential needs (must have) and wants (nice to have); prioritizing family needs","false"
"Jss 1","Calvary Term","1","Home Economics","Family Goals: Meaning and Examples","10-11","Understanding what family goals are; learning short-term and long-term goals families set to improve their lives","false"
"Jss 1","Calvary Term","2","Home Economics","Family Standards: Meaning and Importance","10-11","Understanding family standards as acceptable levels of living; learning how standards guide family decisions and behavior","false"
"Jss 1","Calvary Term","3","Home Economics","Relationship Among Needs, Goals and Standards","10-11","Understanding how family needs, goals, and standards work together to guide family resource management and planning","false"
"Jss 1","Calvary Term","4","Home Economics","Family Resource Management","10-11","Learning to manage family resources wisely using needs, goals, and standards; understanding importance of planning","false"
"Jss 1","Calvary Term","5","Home Economics","Simple Household Articles and Crafts","10-11","Identifying household articles: aprons, caps, needlework bags, head rests, table mats, purses, bibs, napkins, handkerchiefs","false"
"Jss 1","Calvary Term","6","Home Economics","Tools and Materials for Household Articles","10-11","Learning about sewing tools: needles, thread, scissors, measuring tape; materials: fabric, calico, baft cloth","false"
"Jss 1","Calvary Term","7","Home Economics","Construction of Simple Household Articles","10-11","Learning steps to make simple items like aprons, caps, tray cloths, napkins, handkerchiefs; practicing basic sewing skills","false"
