class,term,week,subject,topic,agegroup
Year 4,Summer Term,7,Moral Instructions,The spirit of give and take,8-9
Year 4,Summer Term,8,Moral Instructions,Patience,8-9
Year 4,Summer Term,9,Moral Instructions,Contentment,8-9
Year 5,Summer Term,1,Moral Instructions,The value of hard work ( 2 Thessalonians 3:6-15),9-10
Year 5,Summer Term,2,Moral Instructions,Moderation (James 3:2-12),9-10
Year 5,Summer Term,3,Moral Instructions,Moderation in dressing,9-10
Year 5,Summer Term,4,Moral Instructions,Lust,9-10
Year 5,Summer Term,5,Moral Instructions,Temptations,9-10
Year 5,Summer Term,6,Moral Instructions,Corruption,9-10
Year 5,Summer Term,7,Moral Instructions,Injustice,9-10
Year 5,Summer Term,8,Moral Instructions,Discipline,9-10
Year 5,Summer Term,9,Moral Instructions,Disciplinary measures in school,9-10
Year 1,Summer Term,1,History,Nigeria before independence ( colonial era),5-6
Year 1,Summer Term,2,History,"Heroes and heroines: differences, qualities, names",5-6
Year 1,Summer Term,3,History,"Achievements of heroes and heroines: Abraham Lincoln, Alvan Ikoku, Martin Luther king, Ben Carson and Mark Zuckerberg",5-6
Year 1,Summer Term,4,History,"Traditional rulers : meaning, history and importance",5-6
Year 1,Summer Term,5,History,"Festivals: definition, examples",5-6
Year 1,Summer Term,6,History,History of local government in Nigeria: year it started number of local government in Oyo state and Nigeria,5-6
Year 1,Summer Term,7,History,History of Oyo state,5-6
Year 1,Summer Term,8,History,History of Ogbomoso land,5-6
Year 1,Summer Term,9,History,My origin,5-6
Year 2,Summer Term,1,History,Definition of heroes and heroines: general role of hero and heroines,6-7
Year 2,Summer Term,2,History,"Heroes and heroines in the past: Samuel Ajayi Crowther, Queen Amina of Zaria e.t.c",6-7
Year 2,Summer Term,3,History,"Heroes and heroines in our time: professor Wole Soyinka, Ngozi Okonjo Iweala e.t.c",6-7
Year 2,Summer Term,4,History,Achievements of heroes and heroines both past and present,6-7
Year 2,Summer Term,5,History,"Great patriots from across Africa: Nelson Mandela, Kwane Nknimah, Julius Nyerere, Robert Mugabc, Hellen-Johnson sir leaf",6-7
Year 2,Summer Term,6,History,"History of Oyo state -- year of creation, population, landmass, geo- political zone, major traditional rulers",6-7
Year 2,Summer Term,7,History,"History of government in Oyo state: local government, first governor to the current governor",6-7
Year 2,Summer Term,8,History,Some ancient and modern towns in Nigeria,6-7
Year 2,Summer Term,9,History,"History of Johnethel school: year of creation, vision and mission statement, school organogram, geographical locations, name of the founder",6-7
Year 3,Summer Term,1,History,"History: meaning of history, types, importance of history",7-8
Year 3,Summer Term,2,History,"The beginning of history -- the primitive man, the storage, the discovery of fire",7-8
Year 3,Summer Term,3,History,The history of Ethiopia,7-8
Year 3,Summer Term,4,History,The Kenyans:- The Kikuyu The Massai,7-8
Year 3,Summer Term,5,History,South Africa:- The Zulus The bushman The Hottentot,7-8
Year 3,Summer Term,6,History,"Some ancient towns in Nigeria: Oyo, Onitsha, Kano, Calabar",7-8
Year 3,Summer Term,7,History,"Modern towns in Nigeria (cities): Port Harcourt, Abuja, Lagos, Kaduna, Ibadan",7-8
Year 3,Summer Term,8,History,"Christianity: meaning, importance of Christianity in Nigeria",7-8
Year 3,Summer Term,9,History,"Christian missionaries in Nigeria: David Livingstone, Reverend Ajayi Crowther, Mary Slessor, Reverend Henry Townsend, Pa Elton",7-8
Year 4,Summer Term,1,History,The story of the Vikings,8-9
Year 4,Summer Term,2,History,Benin and Oyo Kingdom,8-9
Year 4,Summer Term,3,History,The Asante kingdom,8-9
Year 4,Summer Term,4,History,"African union (AU) -- meaning, members state, aims and objectives",8-9
Year 4,Summer Term,5,History,"MDG -- meaning, aims and objectives",8-9
Year 4,Summer Term,6,History,Nigeria civil war,8-9
Year 4,Summer Term,7,History,Nigeria military regime,8-9
Year 4,Summer Term,8,History,History of money in Nigeria,8-9
Year 4,Summer Term,9,History,Former subject union: USSD,8-9
Year 5,Summer Term,1,History,The Trans- Sahara trade and rout: the importance and decline of the trade,9-10
Year 5,Summer Term,2,History,"Traditional occupation in the locality- farming, fishing, carving e.t.c, importance of traditional occupation in the locality",9-10
Year 5,Summer Term,3,History,History of NYSC,9-10
Year 5,Summer Term,4,History,"FESTAC 77""",9-10
Year 5,Summer Term,5,History,The story of some beliefs of the past on the origin of man,9-10
Year 5,Summer Term,6,History,The cross Atlantic trade,9-10
Year 5,Summer Term,7,History,"The United National (UN): meaning, organs, members state, aims and objectives",9-10
Year 5,Summer Term,8,History,Human Rights Commission,9-10
Year 5,Summer Term,9,History,"SDG -- meaning, aims and objectives",9-10
Year 1,Summer Term,1,Social Studies,"Food -- meaning , our cultural food, risk factors in food",5-6
Year 1,Summer Term,2,Social Studies,Good eating habits and how to keep food safe,5-6
Year 1,Summer Term,3,Social Studies,Harmful substances and how to avoid taking them,5-6
Year 1,Summer Term,4,Social Studies,Safety rules within the community,5-6
Year 1,Summer Term,5,Social Studies,"Concept of security -- meaning , major security agencies in Nigeria and their functions",5-6
Year 1,Summer Term,6,Social Studies,"Sources of danger and insecurity -- road accident, fire outbreak, kidnapping, relationship with strangers",5-6
Year 1,Summer Term,7,Social Studies,"Addiction, drug addiction and addictive behaviors in children -- solutions to addiction",5-6
Year 1,Summer Term,8,Social Studies,Water -- sources and uses of water,5-6
Year 1,Summer Term,9,Social Studies,"Savings -- meaning , things that can be save, where do we save? Importance of saving",5-6
Year 2,Summer Term,1,Social Studies,"Drugs and drug abuse: meaning, danger and way of preventing drug abuse",6-7
Year 2,Summer Term,2,Social Studies,"Harmful substances -- meaning , sources, danger and prevention of harmful substances",6-7
Year 2,Summer Term,3,Social Studies,"Herbal medicines -- meaning , examples and uses",6-7
Year 2,Summer Term,4,Social Studies,"Accidents -- meaning, types, causes and ways of preventing accident",6-7
Year 2,Summer Term,5,Social Studies,Resources development: using raw materials to make more useful product,6-7
Year 2,Summer Term,6,Social Studies,Division of labour: meaning and importance,6-7
Year 2,Summer Term,7,Social Studies,"Transportation -- meaning , types: ancient and modern means of transportation",6-7
Year 2,Summer Term,8,Social Studies,Savings,6-7
Year 2,Summer Term,9,Social Studies,Moral aspect of drug education and enforcement of drug laws,6-7
Year 3,Summer Term,1,Social Studies,"Man and his environment: meaning, concept of man as both make and female and how man related with his environment",7-8
Year 3,Summer Term,2,Social Studies,"Religion: meaning of religion, different religions in the world -- Christianity , Islam, African tradition, Hinduism, meaning and importance of religious worship",7-8
Year 3,Summer Term,3,Social Studies,"Marriage: meaning of marriage, types of marriage and importance of marriage",7-8
Year 3,Summer Term,4,Social Studies,"Accidents: meaning of accident, types of accident and ways to prevent accident",7-8
Year 3,Summer Term,5,Social Studies,"Community sanitation/cleaning: meaning, benefits of community sanitation",7-8
Year 3,Summer Term,6,Social Studies,"Leadership: meaning, levels of leadership: family leadership, religious leadership, community leadership, school leadership e.t.c and qualities of good leadership",7-8
Year 3,Summer Term,7,Social Studies,"Community values and development: meaning of community values, importance of community values and development",7-8
Year 3,Summer Term,8,Social Studies,"Government: meaning, types, military government, democracy and functions of government",7-8
Year 3,Summer Term,9,Social Studies,"The earth and natural disasters: meaning and types of disaster ( flood, earthquake, storms, tsunami, tornado)",7-8
Year 4,Summer Term,1,Social Studies,Puberty: meaning and stages of puberty,8-9
Year 4,Summer Term,2,Social Studies,Constituted authorities: meaning and responsibilities of constituted authorities,8-9
Year 4,Summer Term,3,Social Studies,"Traffic regulations: meaning, needs, why we should obey traffic regulations and problems and solutions of traffic regulations",8-9
Year 4,Summer Term,4,Social Studies,Accident victims: meaning and how to develop positive attitude towards accident victims,8-9
Year 4,Summer Term,5,Social Studies,"National consciousness: meaning, loyalty, evidence, consequences of loyalty and loyal service to the nation",8-9
Year 4,Summer Term,6,Social Studies,"Population and housing: meaning, types, need to provide adequate housing for people",8-9
Year 4,Summer Term,7,Social Studies,"Pollution: meaning, types, causes, effects and prevention",8-9
Year 4,Summer Term,8,Social Studies,"Physical development: meaning, factors that can contribute to the development of a child and stages and signs of development",8-9
Year 5,Summer Term,1,Social Studies,"Gender discrimination: meaning, forms, consequences and solutions",9-10
Year 5,Summer Term,2,Social Studies,"Conflict: meaning, types, causes, consequences and resolution",9-10
Year 5,Summer Term,3,Social Studies,"Peace education: cooperation, unity, peace and tolerance",9-10
Year 5,Summer Term,4,Social Studies,"Population: how population relate to housing, concept of over/under population, population census",9-10
Year 5,Summer Term,5,Social Studies,"Drug abuse and prevention: meaning, method, types and prevention",9-10
Year 5,Summer Term,6,Social Studies,"Production: meaning, chains, factors, branches, division of labour",9-10
Year 5,Summer Term,7,Social Studies,"Marriage: meaning, types, importance of good marriage and problems of bad marriage",9-10
Year 5,Summer Term,8,Social Studies,"Natural water supply: meaning, sources and uses",9-10
Year 5,Summer Term,9,Social Studies,"Import and export goods: locally made goods, foreign made goods, Nigeria import and export goods and countries from which Nigeria import goods",9-10
Year 1,Summer Term,1,Citizenship,"Respect -- meaning , people to respect, places and things to respect",5-6
Year 1,Summer Term,2,Citizenship,Leadership in Nigeria traditional setting,5-6
Year 1,Summer Term,3,Citizenship,"Title of traditional rulers in Nigeria, functions of traditional rulers",5-6
Year 1,Summer Term,4,Citizenship,Ethnicity and ethnic groups,5-6
Year 1,Summer Term,5,Citizenship,"Cultural awareness -- language, greeting, food, dressing",5-6
Year 1,Summer Term,6,Citizenship,Tolerance -- practical demonstrations on respecting differences and similarities,5-6
Year 1,Summer Term,7,Citizenship,How to respect God and why,5-6
Year 1,Summer Term,8,Citizenship,"My role as a citizen -- community , school, home",5-6
Year 1,Summer Term,9,Citizenship,My neighborhood and my neighbors,5-6
Year 2,Summer Term,1,Citizenship,"People in authority: identification of authority at home, identification in Johnethel school",6-7
Year 2,Summer Term,2,Citizenship,"Respect for law and order in school, home and community",6-7
Year 2,Summer Term,3,Citizenship,"Community leaders: traditional, religious, association",6-7
Year 2,Summer Term,4,Citizenship,Our local state government leaders,6-7
Year 2,Summer Term,5,Citizenship,"Our national leaders : president, vice president, senate president, speaker house of representatives",6-7
Year 2,Summer Term,6,Citizenship,"Law enforcement agency: police, traffic warden, OYRTMA, FRSC, VIO e.t.c",6-7
Year 2,Summer Term,7,Citizenship,"National anthem: Nigeria first national anthem, Nigeria current national anthem",6-7
Year 2,Summer Term,8,Citizenship,The Nigeria coat of arms as a national symbols: meaning and importance,6-7
Year 2,Summer Term,9,Citizenship,"Political parties: meaning, how they are formed, examples and problems created by bad political leaders",6-7
Year 3,Summer Term,1,Citizenship,"Nation: meaning, characteristics and make up of a nation",7-8
Year 3,Summer Term,2,Citizenship,Africa countries ( Cote D'Ivoire and South Africa): the people and their occupation,7-8
Year 3,Summer Term,3,Citizenship,"Ethnic and ethnicity: meaning, causes, problems and solutions",7-8
Year 3,Summer Term,4,Citizenship,"Patriotism: meaning, reasons and importance",7-8
Year 3,Summer Term,5,Citizenship,"Taxation: meaning, importance and people to pay tax",7-8
Year 3,Summer Term,6,Citizenship,"Conflict and peaceful coexistence: meaning, causes and solutions",7-8
Year 3,Summer Term,7,Citizenship,Citizenship: meaning and importance,7-8
Year 3,Summer Term,8,Citizenship,"Communication: meaning, types, importance and means of communication",7-8
Year 3,Summer Term,9,Citizenship,"National growth and development: meaning, benefits and ways",7-8
Year 4,Summer Term,1,Citizenship,"Road safety commission: meaning, aims and objectives and functions",8-9
Year 4,Summer Term,2,Citizenship,"NAFDAC: meaning, roles and importance",8-9
Year 4,Summer Term,3,Citizenship,National Drug Law Enforcement Agency ( NDLEA): roles and importance,8-9
Year 4,Summer Term,4,Citizenship,"Custom, the immigration and the Nigeria police: meaning of custom, immigration and the Nigeria police, roles of their work in Nigeria and importance of custom, the immigration and the Nigeria police",8-9
Year 4,Summer Term,5,Citizenship,"Governance: meaning, characteristics, features and importance of good governance",8-9
Year 4,Summer Term,6,Citizenship,"Judiciary as an arms of government: people that works in judiciary, types and functions of courts in Nigeria",8-9
Year 4,Summer Term,7,Citizenship,"Pressure groups: meaning, examples, importance of pressure groups",8-9
Year 4,Summer Term,8,Citizenship,Difference between pressure group and political parties: disadvantages of pressure group,8-9
Year 4,Summer Term,9,Citizenship,Social injustice: meaning and ways people communicate social injustice,8-9
Year 5,Summer Term,1,Citizenship,"Civil society: meaning, examples and characteristics of civil society",9-10
Year 5,Summer Term,2,Citizenship,National unity,9-10
Year 5,Summer Term,3,Citizenship,"Social injustice: meaning, types and ways people communicate social injustice",9-10
Year 5,Summer Term,4,Citizenship,"War and conflict: meaning, causes and effects",9-10
Year 5,Summer Term,5,Citizenship,Road to world peace: types of international organization and their common objectives and things involved in making peace,9-10
Year 5,Summer Term,6,Citizenship,"Law: meaning of law and institutions, role of law in our society",9-10
Year 5,Summer Term,7,Citizenship,"Influence: meaning, types, causes and effects",9-10
Year 5,Summer Term,8,Citizenship,Attitude to victims of disaster: natural and un- natural disasters,9-10
Year 5,Summer Term,9,Citizenship,"Power: definition of terms( power, authority, legitimacy), sources and forms of power",9-10
Year 1,Summer Term,1,Numeracy,Addition and subtraction of number line,5-6
Year 1,Summer Term,2,Numeracy,Addition and subtraction of number line,5-6
Year 1,Summer Term,3,Numeracy,Concept of measurements,5-6
Year 1,Summer Term,4,Numeracy,Concept of measurements,5-6
Year 1,Summer Term,5,Numeracy,2 & 3 dimensional shapes,5-6
Year 1,Summer Term,6,Numeracy,Time,5-6
Year 1,Summer Term,7,Numeracy,Odd & even numbers,5-6
Year 1,Summer Term,8,Numeracy,Greater than > & less than<,5-6
Year 1,Summer Term,9,Numeracy,Fraction,5-6
Year 2,Summer Term,1,Numeracy,"Shapes: 2D & 3D shapes recognition used, mathematical names description of some features ( faces, edges)",6-7
Year 2,Summer Term,2,Numeracy,"Time: 0'clock, minutes past, minutes ½ and ¼",6-7
Year 2,Summer Term,3,Numeracy,Roman numerals: 1-100,6-7
Year 2,Summer Term,4,Numeracy,Division of 3 digit number by 1 digit number without remainder,6-7
Year 2,Summer Term,5,Numeracy,Measurements -- length: standard and non- standard units and estimation. Conversion -- metre and centimetre. Addition and subtraction,6-7
Year 2,Summer Term,6,Numeracy,Measurements -- area: recognition and shaping and comparison areas of various objects and shapes -- finding area of squares and rectangles,6-7
Year 2,Summer Term,7,Numeracy,"Measurements -- perimeter : recognition and description, addition of sides ( using standard units to find perimeter of rectangles, squares, triangles )",6-7
Year 2,Summer Term,8,Numeracy,"Measurements -- capacity / weight: direct comparison using standard and non-standard units (cl, l), addition of cl and l with sun not more than, subtraction from numbers up to 10cl or l",6-7
Year 2,Summer Term,9,Numeracy,"Geometry -- symmetry : concept of symmetry, identifying symmetrical shapes, lines of symmetry in various objects, folding various plane shapes along their lines of symmetry; finding the number of lines of symmetry in various shapes",6-7
Year 3,Summer Term,1,Numeracy,"2D and 3D shapes: identification of right angle, ∆, recognition of shapes with units of symmetry deriving and using the formulae",7-8
Year 3,Summer Term,2,Numeracy,"Area: meaning and units of measurement of areas, areas of rectangles and squares, word problems involving area",7-8
Year 3,Summer Term,3,Numeracy,"Plane shapes: identification of shapes in symmetry and non- symmetry lines, locations of lines of symmetry of different shapes",7-8
Year 3,Summer Term,4,Numeracy,"Construction of plane shapes: identification of right, acute, obtuse",7-8
Year 3,Summer Term,5,Numeracy,Compass bearing: meaning construction and Q/R's in compass bearing,7-8
Year 3,Summer Term,6,Numeracy,"Measurements: time -- identification and reading of clock to ½ hr and ¼ hr, telling time in minutes, changing seconds to minutes and minutes to seconds, word problem on time",7-8
Year 3,Summer Term,7,Numeracy,"Measurements: length -- changing from centimetre to metre and metre to centimetre, addition and subtraction of kilometer and meter, multiplication and division of length, word problem on length",7-8
Year 3,Summer Term,8,Numeracy,"Measurements: capacity and its units of measurement, words problems in addition and subtraction, word problem in multiplication and division of litres",7-8
Year 3,Summer Term,9,Numeracy,"Statistics -- data representation preparation and reading of pictogram, bar chart or graph and mode, tally",7-8
Year 4,Summer Term,1,Numeracy,Decimal fraction: addition and subtraction of decimal fraction including word problem,8-9
Year 4,Summer Term,2,Numeracy,Decimal fraction: multiplication and division of decimal fraction including word problem,8-9
Year 4,Summer Term,3,Numeracy,"Shapes: classification of polygons using criteria such as number of right angles, regular or irregular, symmetrical property e.t.c",8-9
Year 4,Summer Term,4,Numeracy,Volume of a cube and cuboid including property,8-9
Year 4,Summer Term,5,Numeracy,"Data presentation: bar chart, pictogram, histogram -- extracting and interpreting information presented in simple tables and list",8-9
Year 4,Summer Term,6,Numeracy,"Measurements of central tendency: mean, median and mode",8-9
Year 4,Summer Term,7,Numeracy,"Probability: understand and learn simple vocabularies including 'or', 'certain , likely: tossing of coins, throwing of dice, preparing tally from the data and others choices of events in daily life activities",8-9
Year 4,Summer Term,8,Numeracy,"Measurements: length, mass, capacity, use of addition and subtraction",8-9
Year 4,Summer Term,9,Numeracy,"Structure of the earth -- introduction of shapes that are spherical, shape of the earth, volume of the globe, comparing volume of a sphere and cuboid, Q/R involving, volume of sphere and cuboid",8-9
Year 5,Summer Term,1,Numeracy,"Rate: speed, distance and time",9-10
Year 5,Summer Term,2,Numeracy,Taxes and rate -- income tax,9-10
Year 5,Summer Term,3,Numeracy,"Capacity and weight : conversion, addition, subtraction, multiplication and division, word problems",9-10
Year 5,Summer Term,4,Numeracy,"Algebra: factorization, four operation, forming simple equation, use of brackets, word problems",9-10
Year 5,Summer Term,5,Numeracy,"Lines and angles: lines, triangles, mathematical problems on lines, ( opposite, corresponding angles) and angles",9-10
Year 5,Summer Term,6,Numeracy,Length and Pythagoras theorem,9-10
Year 5,Summer Term,7,Numeracy,"Geometry: position, direction, motion, properties of plane and solid shapes",9-10
Year 5,Summer Term,8,Numeracy,Compound interest,9-10
Year 5,Summer Term,9,Numeracy,"Number base: denary or decimal base, counting in base two, conversion from binary to decimal system, conversion from decimal to binary system. Addition and subtraction in base two",9-10
Year 1,Summer Term,1,Literacy,Alphabetical order,5-6
Year 1,Summer Term,2,Literacy,Parts of speech,5-6
Year 1,Summer Term,3,Literacy,Verb tenses,5-6
Year 1,Summer Term,4,Literacy,Adjectives,5-6
Year 1,Summer Term,5,Literacy,Adverbs,5-6
Year 1,Summer Term,6,Literacy,Synonyms,5-6
Year 1,Summer Term,7,Literacy,Antonyms,5-6
Year 1,Summer Term,8,Literacy,Plural,5-6
Year 1,Summer Term,9,Literacy,Speech marks,5-6
Year 2,Summer Term,1,Literacy,Verb tenses: expressing future action using present continuous tense to replace shall it will,6-7
Year 2,Summer Term,2,Literacy,"Modal auxiliary: expressing obligation- ought to, have to, has to should, could, must, shall",6-7
Year 2,Summer Term,3,Literacy,Asking for permission using CAN or MAY in asking for permission to show politeness,6-7
Year 2,Summer Term,4,Literacy,Sentences,6-7
Year 2,Summer Term,5,Literacy,"Demonstrative: the use of this, these, that and those",6-7
Year 2,Summer Term,6,Literacy,Synonyms,6-7
Year 2,Summer Term,7,Literacy,Antonyms,6-7
Year 2,Summer Term,8,Literacy,"Articles : A, AN and THE",6-7
Year 2,Summer Term,9,Literacy,Root words and compound words,6-7
Year 3,Summer Term,1,Literacy,"Tenses -- present perfect tense and uses, past perfect tense and uses",7-8
Year 3,Summer Term,2,Literacy,"Adjectives: meaning, identifying of adjectives and degrees of comparing adjectives",7-8
Year 3,Summer Term,3,Literacy,Active and passive sentences,7-8
Year 3,Summer Term,4,Literacy,Direct and indirect speech,7-8
Year 3,Summer Term,5,Literacy,"Punctuation: full stop (.), Apostrophe () comma ()",7-8
Year 3,Summer Term,6,Literacy,Antonyms and synonyms,7-8
Year 3,Summer Term,7,Literacy,"Subject and predicate, pronouns",7-8
Year 3,Summer Term,8,Literacy,Word formation: prefixes and suffixes,7-8
Year 3,Summer Term,9,Literacy,"Figure of speech: simile, metaphor, pun, hyperbole and personification",7-8
Year 4,Summer Term,1,Literacy,Structuring argument,8-9
Year 4,Summer Term,2,Literacy,"Sentences structures: simple, compound and complex",8-9
Year 4,Summer Term,3,Literacy,Stress in English Language,8-9
Year 4,Summer Term,4,Literacy,Positive and negative statement,8-9
Year 4,Summer Term,5,Literacy,Conjunction,8-9
Year 4,Summer Term,6,Literacy,Contractions,8-9
Year 4,Summer Term,7,Literacy,Direct and indirect speech,8-9
Year 4,Summer Term,8,Literacy,"Tenses -- present continuous, past continuous, present perfect and past perfect",8-9
Year 4,Summer Term,9,Literacy,Classes of word,8-9
Year 5,Summer Term,1,Literacy,Punctuation,9-10
Year 5,Summer Term,2,Literacy,The use of comma's in complex sentences,9-10
Year 5,Summer Term,3,Literacy,Idiomatic expressions and proverbs,9-10
Year 5,Summer Term,4,Literacy,Synonyms and antonyms,9-10
Year 5,Summer Term,5,Literacy,Homonyms and homophones,9-10
Year 5,Summer Term,6,Literacy,Phrases and clauses,9-10
Year 5,Summer Term,7,Literacy,Connectives,9-10
Year 5,Summer Term,8,Literacy,Figure of speech,9-10
Year 5,Summer Term,9,Literacy,Essay writing,9-10
Year 1,Summer Term,1,Basic Science,Human body,5-6
Year 1,Summer Term,2,Basic Science,Floating and sinking objects,5-6
Year 1,Summer Term,3,Basic Science,Living and nonliving things,5-6
Year 1,Summer Term,4,Basic Science,Plants,5-6
Year 1,Summer Term,5,Basic Science,Animals around us,5-6
Year 1,Summer Term,6,Basic Science,Electricity,5-6
Year 1,Summer Term,7,Basic Science,Light -- dangers of light,5-6
Year 1,Summer Term,8,Basic Science,Sound,5-6
Year 1,Summer Term,9,Basic Science,Force -- push and pull,5-6
Year 2,Summer Term,1,Basic Science,Electricity -- safety use of electricity,6-7
Year 2,Summer Term,2,Basic Science,Force -- push and pull,6-7
Year 2,Summer Term,3,Basic Science,"Science of gravity: meaning, discovery of gravitational force and importance",6-7
Year 2,Summer Term,4,Basic Science,Human body -- meaning and parts,6-7
Year 2,Summer Term,5,Basic Science,"Human body -- uses of body parts e.g brain, throat, nostrils, ankles and knees e.t.c",6-7
Year 2,Summer Term,6,Basic Science,"Water -- water cycle, contamination and purification of water",6-7
Year 2,Summer Term,7,Basic Science,"Mechanical gadgets -- meaning , examples and uses of simple machine",6-7
Year 2,Summer Term,8,Basic Science,Concept of pulley and lever,6-7
Year 2,Summer Term,9,Basic Science,"Matter: meaning and forms , concept of mass and weight",6-7
Year 3,Summer Term,1,Basic Science,"Evaporation: meaning, experiments on evaporation, what happens in the evaporated water in the atmosphere, why rain falls and process of precipitation",7-8
Year 3,Summer Term,2,Basic Science,"Forces and magnet: meaning, types identification of magnetic and non-magnetic materials",7-8
Year 3,Summer Term,3,Basic Science,"Insulator and conductor : insulator -- rubbers, wood, foam e.t.c conductors -- most metals -- gold silver and cooper",7-8
Year 3,Summer Term,4,Basic Science,"Volume: meaning, measuring volume of liquid and measuring volume of irregular solid",7-8
Year 3,Summer Term,5,Basic Science,"Mass and weight: meaning, differences, similarities and standard units of measurement",7-8
Year 3,Summer Term,6,Basic Science,"Acid and base: meaning, examples and uses",7-8
Year 3,Summer Term,7,Basic Science,"Animals and humans: identification of animals, nutrition, ways water and nutrients are transported in animals/ humans",7-8
Year 3,Summer Term,8,Basic Science,Skeletal and muscular system: meaning and locations in body and functions,7-8
Year 3,Summer Term,9,Basic Science,"Fruits: meaning, how fruits develop and classification of fruit with examples",7-8
Year 4,Summer Term,1,Basic Science,Heat: meaning and sources,8-9
Year 4,Summer Term,2,Basic Science,"Heat transfer processes: radiation, induction, convection",8-9
Year 4,Summer Term,3,Basic Science,"Rock: meaning, types and uses",8-9
Year 4,Summer Term,4,Basic Science,"Types of rock : formation, properties and examples of each",8-9
Year 4,Summer Term,5,Basic Science,"Effects of force: change shape, direction and position",8-9
Year 4,Summer Term,6,Basic Science,"Hereditary: meaning, dominant and recessive genes, explore family tree resemblance and some characteristics that are passed onto off springs",8-9
Year 4,Summer Term,7,Basic Science,"Blood and circulation: meaning of circulatory system, functions of the blood vessels and hearts",8-9
Year 4,Summer Term,8,Basic Science,"Digestive system: meaning, parts, proper nutrients/ exercise",8-9
Year 4,Summer Term,9,Basic Science,"Water cycle: meaning, elements, formation of rain, dew must, fog e.t.c ( diagram)",8-9
Year 5,Summer Term,1,Basic Science,"Evolution: meaning, evidence of evolution, identifying how plants and animals including humans resemble the parents in many features",9-10
Year 5,Summer Term,2,Basic Science,"Genetics: meaning, law of genetics, recessive and dominant genes",9-10
Year 5,Summer Term,3,Basic Science,"Vaccination: meaning, types and importance",9-10
Year 5,Summer Term,4,Basic Science,"Air: meaning, properties and composition",9-10
Year 5,Summer Term,5,Basic Science,"Light: meaning, how light is formed, how light travels, formation of rainbow, reflection and refraction",9-10
Year 5,Summer Term,6,Basic Science,"Measurements: meaning, standard units, types and units, olden days measurements",9-10
Year 5,Summer Term,7,Basic Science,"Viruses and bacteria: meaning, examples, diseases caused by viruses and bacteria",9-10
Year 5,Summer Term,8,Basic Science,"Magnetism: meaning, characteristics, magnetic and non-magnetic materials with e.g use of magnet",9-10
Year 5,Summer Term,9,Basic Science,"Saponification: meaning, processes and uses of soap",9-10
Year 1,Summer Term,1,Agricultural Science,Farm animals,5-6
Year 1,Summer Term,2,Agricultural Science,Homes ( habitat),5-6
Year 1,Summer Term,3,Agricultural Science,Uses of farm animals,5-6
Year 1,Summer Term,4,Agricultural Science,Gardening -- meaning,5-6
Year 1,Summer Term,5,Agricultural Science,Pest in our garden,5-6
Year 1,Summer Term,6,Agricultural Science,Pest control,5-6
Year 1,Summer Term,7,Agricultural Science,Rodents,5-6
Year 1,Summer Term,8,Agricultural Science,Useful insects in our garden -- pollination,5-6
Year 1,Summer Term,9,Agricultural Science,Farm tools and their uses,5-6
Year 2,Summer Term,1,Agricultural Science,"Ornamental crops: meaning, stages in raising ornamental crops, plants nursery, acts of transplanting",6-7
