class,term,week,subject,topic,agegroup,context
Jss 3,Calvary Term,1,Christian Religious Studies,"Peter and Simon the Magician",12-13,"Peter's encounter with Simon the magician in Samaria who tried to buy the power of the Holy Spirit with money, and Peter's rebuke against simony (Acts 8:14-25)"
Jss 3,Calvary Term,2,Christian Religious Studies,"Peter's Healing Miracles - Raising of Dorcas",12-13,"The miraculous raising of Dorcas (Tabitha) from the dead by Peter in Joppa, demonstrating God's power and strengthening faith in the community (Acts 9:36-42)"
Jss 3,Calvary Term,3,Christian Religious Studies,"Peter's Conversion of Cornelius",12-13,"Peter's vision about clean and unclean animals, his visit to Cornelius the centurion, and the significance of Gentiles receiving the Holy Spirit and being accepted into the church (Acts 10:1-48)"
Jss 3,Calvary Term,4,Christian Religious Studies,"Peter's Miraculous Release from Prison",12-13,"How Peter was miraculously freed from prison by an angel while the church prayed for him, demonstrating God's power to deliver His servants (Acts 12:1-24)"
Jss 3,Calvary Term,5,Christian Religious Studies,"Paul's Nativity, Education and Early Life",12-13,"Paul's background as Saul of Tarsus, a Jew from the tribe of Benjamin, his education under Gamaliel, and his initial career as a Pharisee (Acts 22:1-5, 26-30)"
Jss 3,Calvary Term,6,Christian Religious Studies,"Paul's Conversion on the Road to Damascus",12-13,"The dramatic conversion of Saul when he encountered Jesus on the way to Damascus, his temporary blindness, and Ananias' role in his healing and baptism (Acts 9:1-19)"
Jss 3,Calvary Term,7,Christian Religious Studies,"Christian Attitudes Towards Persecutors",12-13,"Biblical teachings on how Christians should respond to persecution including praying for enemies (Matthew 5:43-48), enduring suffering (John 15:18-25), and wise relocation when necessary (Matthew 10:16-26)"
Jss 3,Calvary Term,8,Christian Religious Studies,"The Beginning of the Church in Antioch",12-13,"How the church was established in Antioch of Syria after persecution scattered believers, and how it became the base for missionary work (Acts 11:19-30)"
Jss 3,Calvary Term,9,Christian Religious Studies,"Paul's First Missionary Journey - Part 1",12-13,"The sending forth of Barnabas and Paul as missionaries by the Holy Spirit, and their visits to Salamis, Paphos, Perga, and Antioch in Pisidia (Acts 13:1-3)"
Jss 3,Calvary Term,10,Christian Religious Studies,"Paul's First Missionary Journey - Part 2",12-13,"Continuation of the first missionary journey covering visits to Iconium, Lystra, and Derbe, including challenges faced and conversions made during the journey"
Jss 3,Summer Term,1,Christian Religious Studies,"The Jerusalem Council",12-13,"The convening of the first church council in Jerusalem to resolve the conflict about whether Gentile converts needed to follow Jewish law, and the decision reached (Acts 15:1-35)"
Jss 3,Summer Term,2,Christian Religious Studies,"Conflict Resolution in the Church",12-13,"Learning from the Jerusalem Council about proper ways to resolve conflicts through dialogue and peaceful discussion, versus wrong methods like fighting, vengeance, and violence"
Jss 3,Summer Term,3,Christian Religious Studies,"Paul's Second Missionary Journey",12-13,"Paul's second missionary journey with Silas, visiting churches to strengthen them, the Macedonian call, and establishing churches in Philippi, Thessalonica, and Corinth"
Jss 3,Summer Term,4,Christian Religious Studies,"Paul's Third Missionary Journey",12-13,"Paul's third missionary journey focusing on strengthening existing churches, his extended ministry in Ephesus, and his determination to go to Jerusalem despite warnings"
Jss 3,Summer Term,5,Christian Religious Studies,"Christian Organizations and Unity",12-13,"Understanding Christian organizations like World Council of Churches (WCC), Christian Association of Nigeria (CAN), and how they promote unity among different denominations"
Jss 3,Summer Term,6,Christian Religious Studies,"Biblical Teachings on Christian Unity",12-13,"Studying biblical principles that foster unity including faith and works (James 1:22-27), humility (Philippians 2:3-11), impartiality (James 2:1-13), and forgiveness (Galatians 6:1-2)"
Jss 3,Summer Term,7,Christian Religious Studies,"Christian Giving and Assistance",12-13,"Understanding the importance of Christians helping one another in times of need, and the biblical basis for generous giving as taught in Philippians 4:14-19"
Jss 3,Summer Term,8,Christian Religious Studies,"Christian Living in the Community",12-13,"How Christians should live as salt and light in their communities (Matthew 5:13-16), being good examples and witnesses to non-believers (1 Peter 2:9-18)"
Jss 3,Summer Term,9,Christian Religious Studies,"Christian Attitudes to Persecution Today",12-13,"Learning how to respond to persecution with faith and courage, maintaining Christian witness even in difficult circumstances (Matthew 5:11-12; 1 Peter 3:13-17)"
Jss 3,Summer Term,10,Christian Religious Studies,"Interdenominational Cooperation and Service",12-13,"Practical ways Christians from different denominations can work together in service, evangelism, and community development while maintaining their distinct identities"
